,187.932,188.400,93.000,-Inf
0,187.932,188.4,93.044,-inf
1,187.932,188.4,93.061,-inf
2,187.932,188.4,93.081,-inf
3,187.932,188.4,93.096,-inf
4,187.932,188.4,93.111,-inf
5,187.932,188.4,93.13,-inf
6,187.932,188.4,93.147,-inf
7,187.932,188.4,93.162,-inf
8,187.932,188.4,93.178,-inf
9,187.932,188.4,93.198,-inf
10,187.932,188.4,93.214,-inf
11,187.932,188.4,93.231,-inf
12,187.932,188.4,93.248,-inf
13,187.932,188.4,93.267,-inf
14,187.932,188.4,93.281,-inf
15,187.932,188.4,93.296,-inf
16,187.932,188.4,93.317,-inf
17,187.932,188.4,93.333,-inf
18,187.932,188.4,93.348,-inf
19,187.932,188.4,93.366,-inf
20,187.932,188.4,93.387,-inf
21,187.932,188.4,93.402,-inf
22,187.932,188.4,93.416,-inf
23,187.932,188.4,93.435,-inf
24,187.932,188.4,93.451,-inf
25,187.932,188.4,93.466,-inf
26,187.932,188.4,93.483,-inf
27,187.932,188.4,93.501,-inf
28,187.932,188.4,93.517,-inf
29,187.932,188.4,93.533,-inf
30,187.932,188.4,93.553,-inf
31,187.932,188.4,93.571,-inf
32,187.932,188.4,93.586,-inf
33,187.932,188.4,93.601,-inf
34,187.932,188.4,93.621,-inf
35,187.932,188.4,93.636,-inf
36,187.932,188.4,93.651,-inf
37,187.932,188.4,93.67,-inf
38,187.932,188.4,93.688,-inf
39,187.932,188.4,93.704,-inf
40,187.932,188.4,93.72,-inf
41,187.932,188.4,93.74,-inf
42,187.932,188.4,93.755,-inf
43,187.932,188.4,93.77,-inf
44,187.932,188.4,93.787,-inf
45,187.932,188.4,93.805,-inf
46,187.932,188.4,93.821,-inf
47,187.932,188.4,93.836,-inf
48,187.932,188.4,93.856,-inf
49,187.932,188.4,93.872,-inf
50,187.932,188.4,93.888,-inf
51,187.932,188.4,93.905,-inf
52,187.932,188.4,93.924,-inf
53,187.932,188.4,93.939,-inf
54,187.932,188.4,93.954,-inf
55,187.932,188.4,93.974,-inf
56,187.932,188.4,93.99,-inf
57,187.932,188.4,94.006,-inf
58,187.932,188.4,94.023,-inf
59,187.932,188.4,94.043,-inf
60,187.932,188.4,94.058,-inf
61,187.932,188.4,94.074,-inf
62,187.932,188.4,94.092,-inf
63,187.932,188.4,94.11,-inf
64,187.932,188.4,94.124,-inf
65,187.932,188.4,94.14,-inf
66,187.932,188.4,94.159,-inf
67,187.932,188.4,94.176,-inf
68,187.932,188.4,94.193,-inf
69,187.932,188.4,94.21,-inf
70,187.932,188.4,94.23,-inf
71,187.932,188.4,94.245,-inf
72,187.932,188.4,94.26,-inf
73,187.932,188.4,94.278,-inf
74,187.932,188.4,94.297,-inf
75,187.932,188.4,94.311,-inf
76,187.932,188.4,94.326,-inf
77,187.932,188.4,94.347,-inf
78,187.932,188.4,94.363,-inf
79,187.932,188.4,94.379,-inf
80,187.932,188.4,94.396,-inf
81,187.932,188.4,94.416,-inf
82,187.932,188.4,94.43,-inf
83,187.932,188.4,94.446,-inf
84,187.932,188.4,94.464,-inf
85,187.932,188.4,94.48,-inf
86,187.932,188.4,94.495,-inf
87,187.932,188.4,94.513,-inf
88,187.932,188.4,94.531,-inf
89,187.932,188.4,94.547,-inf
90,187.932,188.4,94.563,-inf
91,187.932,188.4,94.582,-inf
92,187.932,188.4,94.599,-inf
93,187.932,188.4,94.614,-inf
94,187.932,188.4,94.63,-inf
95,187.932,188.4,94.649,-inf
96,187.932,188.4,94.664,-inf
97,187.932,188.4,94.679,-inf
98,187.932,188.4,94.699,-inf
99,187.932,188.4,94.717,-inf
100,187.932,188.4,94.732,-inf
101,187.932,188.4,94.748,0.437
102,187.932,188.4,94.768,0.421
103,187.932,188.4,94.783,-inf
104,187.932,188.4,94.798,-inf
105,187.932,188.4,94.816,0.367
106,187.932,188.4,94.833,0.348
107,187.932,188.4,94.848,0.327
108,187.932,188.4,94.864,0.302
109,187.932,188.4,94.884,0.283
110,187.932,188.4,94.9,0.267
111,187.932,188.4,94.916,0.271
112,187.932,188.4,94.934,0.294
113,187.932,188.4,94.951,0.311
114,187.932,188.4,94.965,0.321
115,187.932,188.4,94.981,0.323
116,187.932,188.4,95.0,0.318
117,187.932,188.4,95.015,0.319
118,187.932,188.4,95.031,0.322
119,187.932,188.4,95.05,0.321
120,187.932,188.4,95.069,0.324
121,187.932,188.4,95.084,0.327
122,187.932,188.4,95.1,0.327
123,187.932,188.4,95.119,0.318
124,187.932,188.4,95.135,0.324
125,187.932,188.4,95.149,0.309
126,187.932,188.4,95.166,0.731
127,187.932,188.4,95.185,1.082
128,187.932,188.4,95.199,1.259
129,187.932,188.4,95.214,1.221
130,187.932,188.4,95.235,0.754
131,187.932,188.4,95.25,0.332
132,187.932,188.4,95.266,0.577
133,187.932,188.4,95.284,1.091
134,187.932,188.4,95.303,1.163
135,187.932,188.4,95.318,1.157
136,187.932,188.4,95.333,1.14
137,187.932,188.4,95.352,1.115
138,187.932,188.4,95.368,1.097
139,187.932,188.4,95.383,1.091
140,187.932,188.4,95.401,1.078
141,187.932,188.4,95.421,1.046
142,187.932,188.4,95.436,1.015
143,187.932,188.4,95.452,0.976
144,187.932,188.4,95.47,0.948
145,187.932,188.4,95.487,0.93
146,187.932,188.4,95.502,0.929
147,187.932,188.4,95.518,0.93
148,187.932,188.4,95.537,0.913
149,187.932,188.4,95.552,0.902
150,187.932,188.4,95.566,0.915
151,187.932,188.4,95.586,0.913
152,187.932,188.4,95.605,0.886
153,187.932,188.4,95.621,0.828
154,187.932,188.4,95.636,0.869
155,187.932,188.4,95.656,0.987
156,187.932,188.4,95.671,1.093
157,187.932,188.4,95.685,1.082
158,187.932,188.4,95.703,1.066
159,187.932,188.4,95.72,1.052
160,187.932,188.4,95.736,1.038
161,187.932,188.4,95.751,1.028
162,187.932,188.4,95.771,1.019
163,187.932,188.4,95.787,1.008
164,187.932,188.4,95.803,0.989
165,187.932,188.4,95.82,0.962
166,187.932,188.4,95.838,0.694
167,187.932,188.4,95.853,0.098
168,187.932,188.4,95.868,-0.56
169,187.932,188.4,95.888,-0.562
170,187.932,188.4,95.903,-0.563
171,187.932,188.4,95.918,-0.559
172,187.932,188.4,95.937,-0.557
173,187.932,188.4,95.955,-0.556
174,187.932,188.4,95.971,-0.556
175,187.932,188.4,95.987,-0.553
176,187.932,188.4,96.006,-0.555
177,187.932,188.4,96.023,-0.558
178,187.932,188.4,96.038,-0.559
179,187.932,188.4,96.053,-0.557
180,187.932,188.4,96.074,-0.553
181,187.932,188.4,96.089,-0.55
182,187.932,188.4,96.105,-0.55
183,187.932,188.4,96.123,-0.549
184,187.932,188.4,96.143,-0.546
185,187.932,188.4,96.158,-0.543
186,187.932,188.4,96.173,-0.54
187,187.932,188.4,96.191,-0.538
188,187.932,188.4,96.208,-0.536
189,187.932,188.4,96.223,-0.533
190,187.932,188.4,96.239,-0.526
191,187.932,188.4,96.258,-0.521
192,187.932,188.4,96.274,-0.518
193,187.932,188.4,96.29,-0.512
194,187.932,188.4,96.31,-0.504
195,187.932,188.4,96.327,-0.498
196,187.932,188.4,96.342,-0.49
197,187.932,188.4,96.357,-0.476
198,187.932,188.4,96.379,-0.464
199,187.932,188.4,96.395,-0.452
200,187.932,188.4,96.41,-0.432
201,187.932,188.4,96.428,-0.396
202,187.932,188.4,96.448,-0.321
203,187.932,188.4,96.463,-0.156
204,187.932,188.4,96.478,0.075
205,187.932,188.4,96.497,0.185
206,187.932,188.4,96.513,0.279
207,187.932,188.4,96.528,0.296
208,187.932,188.4,96.544,0.301
209,187.932,188.4,96.563,0.304
210,187.932,188.4,96.579,0.302
211,187.932,188.4,96.595,0.292
212,187.932,188.4,96.614,0.284
213,187.932,188.4,96.633,0.286
214,187.932,188.4,96.648,0.289
215,187.932,188.4,96.663,0.29
216,187.932,188.4,96.682,0.291
217,187.932,188.4,96.698,0.291
218,187.932,188.4,96.712,0.29
219,187.932,188.4,96.731,0.283
220,187.932,188.4,96.749,0.257
221,187.932,188.4,96.765,0.202
222,187.932,188.4,96.781,0.135
223,187.932,188.4,96.801,0.101
224,187.932,188.4,96.816,0.075
225,187.932,188.4,96.831,-0.142
226,187.932,188.4,96.848,-0.542
227,187.932,188.4,96.867,-0.692
228,187.932,188.4,96.882,-0.291
229,187.932,188.4,96.897,-0.119
230,187.932,188.4,96.917,-inf
231,187.932,188.4,96.933,-inf
232,187.932,188.4,96.949,-inf
233,187.932,188.4,96.966,-inf
234,187.932,188.4,96.987,-inf
235,187.932,188.4,97.001,-inf
236,187.932,188.4,97.016,-inf
237,187.932,188.4,97.035,-inf
238,187.932,188.4,97.052,-inf
239,187.932,188.4,97.066,-inf
240,187.932,188.4,97.083,-inf
241,187.932,188.4,97.102,-inf
242,187.932,188.4,97.118,-inf
243,187.932,188.4,97.134,-inf
244,187.932,188.4,97.152,-inf
245,187.932,188.4,97.17,-inf
246,187.932,188.4,97.185,-inf
247,187.932,188.4,97.2,-inf
248,187.932,188.4,97.22,-inf
249,187.932,188.4,97.235,-inf
250,187.932,188.4,97.25,-inf
251,187.932,188.4,97.269,-inf
252,187.932,188.4,97.288,-inf
253,187.932,188.4,97.304,-inf
254,187.932,188.4,97.319,-inf
255,187.932,188.4,97.339,-inf
256,187.932,188.4,97.355,-inf
257,187.932,188.4,97.37,-inf
258,187.932,188.4,97.386,-inf
259,187.932,188.4,97.405,-inf
260,187.932,188.4,97.421,-inf
261,187.932,188.4,97.436,-inf
262,187.932,188.4,97.456,-inf
263,187.932,188.4,97.475,-inf
264,187.932,188.4,97.49,-inf
265,187.932,188.4,97.5,-inf
266,187.932,188.4,97.5,-inf
267,0.0,0.0,0.0,-inf
